url,route_type,city,subject,modifier,unique_words,total_words,max_similarity,most_similar_url,proposed_action
"/programs/mandarin","program","","mandarin","","417","440","0.079","/programs/french","keep"
"/programs/biology","program","","biology","","718","747","0.075","/programs/university-biology","keep"
"/programs/gmat-prep","program","","gmat","","703","726","0.074","/programs/gre-prep","keep"
"/programs/gre-prep","program","","gre","","643","666","0.074","/programs/gmat-prep","keep"
"/programs/mcat-prep","program","","mcat","","404","427","0.069","/programs/gmat-prep","keep"
"/programs/sat-prep","program","","sat","","445","468","0.068","/programs/python","keep"
"/french-tutor-surrey","seoPage","surrey","french","","627","871","0.067","/biology-11-tutor-burnaby","keep"
"/french-classes-burnaby","seoPage","burnaby","french","","574","818","0.067","/biology-11-tutor-burnaby","keep"
"/medical-exam-prep-tutor-online","vertical","","","","323","527","0.065","/medical-sciences-tutor","keep"
"/french-tutor-vancouver","seoPage","vancouver","french","","624","868","0.062","/python-tutor-vancouver","keep"
"/french-immersion-tutor-surrey","seoPage","surrey","french","","733","977","0.06","/biology-11-tutor-burnaby","keep"
"/programs/burnaby-stem-tutoring","program","burnaby","stem","","559","582","0.06","/programs/vancouver-math-tutoring","keep"
"/programs/vancouver-math-tutoring","program","vancouver","math","","543","571","0.06","/programs/burnaby-stem-tutoring","keep"
"/programs/pre-calculus","program","","pre-calculus","","685","708","0.05","/programs/mandarin","keep"
"/my-child-is-failing-math-what-should-i-do","seoPage","","math","","1267","1511","0.048","/how-to-choose-a-math-tutor-in-burnaby","keep"
"/how-to-choose-a-math-tutor-in-burnaby","seoPage","burnaby","math","","1261","1505","0.048","/my-child-is-failing-math-what-should-i-do","keep"
"/french-classes-surrey","seoPage","surrey","french","","774","1018","0.048","/python-tutor-vancouver","keep"
"/programs/computer-science","program","","computer-science","","951","980","0.046","/programs/biology","keep"
"/programs/ib-ap-tutoring","program","","ib","","770","793","0.046","/programs/mcat-prep","keep"
"/blog/one-on-one-math-tutoring-burnaby-close-concept-gaps","blog","burnaby","math","one-on-one","2165","2233","0.037","/blog/after-school-math-tutor-burnaby-homework-done-right","keep"
"/blog/after-school-math-tutor-burnaby-homework-done-right","blog","burnaby","math","","2109","2177","0.037","/blog/one-on-one-math-tutoring-burnaby-close-concept-gaps","keep"
"/blog/tutoring-burnaby-phd-led-math-science","blog","burnaby","science","","1842","1910","0.035","/blog/tutoring-vancouver-phd-led-concept-gaps","keep"
"/blog/tutoring-vancouver-phd-led-concept-gaps","blog","vancouver","ap","","2036","2104","0.035","/blog/tutoring-burnaby-phd-led-math-science","keep"
"/blog/tutoring-burnaby-phd-led-guide-in-person-vs-online","blog","burnaby","","","2175","2243","0.034","/blog/tutoring-burnaby-phd-led-math-science","keep"
"/blog/tutoring-burnaby-metro-vancouver-guide","blog","burnaby","","","1940","2008","0.033","/blog/tutoring-burnaby-phd-led-guide-in-person-vs-online","keep"
"/blog/ib-ap-tutoring-ap-statistics","blog","","statistics","","1629","1705","0.032","/blog/university-mathematics-statistics-ubc-stat-200-203-241-251","keep"
